text
"RT @cher: Trump Lies""AGAIN""&amp; Says Blk Pastors Will Endorse Him😝Carson Flies 2C Syrian Refugees He Called""Mad Dogs""Cause his #s TANK‼️ POLIT…"
"RT @trevormoranxoxo: me: i hate stamps
donald trump: i hate stamps
me: https://t.co/5i5OxQfwZc"
"RT @sexgoal: a mosaic of donald trump created from over 5,000 dick pics https://t.co/lYDgIlVRFw"
"RT @PAClFlCALLY: i hate how everyone compares donald trump to the devil, are y'all forgetting that satan was gods favourite?? trump will ne…"
"RT @SteveStfler: Last day, President Obama fed veterans &amp; the homeless while Trump mocked a person's disability. https://t.co/PxiekcZR9I"
RT @jacobinmag: Donald Trump speaks to an aggrieved and radicalized middle class with seemingly nowhere else to turn. https://t.co/cYIKe7FK…
Trump won't retract Muslim 9/11 claim https://t.co/H8yGbmoyry
"Readers react to Donald Trump, leadership and Bernie Sanders – Kansas City Star https://t.co/tyRdCAWMGc"
"RT @WalshFreedom: John McCain: ""Trump turns Muslims around the world against us.""

Shut up McCain. Most have been against us for yrs. https…"
RT @survxval: Reasons to hate Donald Trump https://t.co/EOpu4l1ffh
"RT @arianasproblem: Me: I hate water 

Donald trump: I hate water it's tasteless, and a boring refreshment.

Me: https://t.co/9tEQvrJLvp"
How Donald Trump courted the right-wing fringe to conquer the GOP https://t.co/xkesx54rTH
RT @GUSTHEREALEST: Just a friendly reminder that Donald Trump is a racist and shouldn't be a legitimate candidate to run for president http…
RT @classicsrbest: @sandrapatriot @LabsRa @ThisWeekABC @MarthaRaddatz @BillKristol @realDonaldTrump why lie? https://t.co/KiXMCp57Cf
RT @Sttbs73: I'm shocked to hear this news!  https://t.co/vpQZyWNpbP
RT @WORLDSTAR: Nas shares his views on Donald Trump https://t.co/fdOXqKH9mZ
"RT @jesusworecrocs: yesterday, President Obama fed veterans &amp; the homeless while Trump mocked a person's disability. Happy Thanksgiving htt…"
RT @thehill: Trump faces heat for ‘outrageous’ mocking of reporter with disability: https://t.co/KYUcWNDFqQ https://t.co/XMxdx0yzkj
"RT @newtmastilinski: who would u rather be president
rt for sportacus, fav for donald trump https://t.co/7mL7qM8dLO"
RT @santiagos58: The Existential Threat – If You Think Trump is Under Attack Now – You Ain’t Seen Nothing Yet… | The Last Refuge https://t.…
Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/JzutDnVNi1
RT @helpingthos: Wonder why none of the other GOP or DEM supporters have shared their events? Trump will be POTUS! @realDonaldTrump  https:…
"RT @WORIDSTARHIPH0P: yesterday, President Obama fed veterans &amp; the homeless while Trump mocked a person's disability. Happy Thanksgiving ht…"
"RT @_AnimalAdvocate: #Trump wants to #MakeAmericaGreatAgain
by abusing #EndangeredSpecies
for cheap publicity!
Stay classy #USA

@glm8892 h…"
I cannot look at that face behind a presidential podium for 4 years. Just sayin'. https://t.co/BNImLFKbh4
"RT @BlissTabitha: ‘Take it easy, Chuck’: Trump has to talk Chuck Todd off a ledge on heated ‘Meet the Press’ https://t.co/ik1uhDOz4q"
RT @Gawker: Join Donald Trump's open casting call for 'beautiful children.' https://t.co/8itq67269G https://t.co/GiYkyvaOYa
"@VCirkovs @KosherSoul 
Or at the very least some well-directed karma https://t.co/z7YccSv4sk"
RT @TheLadBible: If you face-swap Donald Trump with Boris Johnson you get Owen Wilson. https://t.co/cebVsBXeYg
